date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-03-27,27.0,73,1012.6,17.3,0.0,61.43333333333334,19.3125,259.875,13.466666666666669,5.3500000000000005,75.75,62.16666666666666
2024-03-28,27.7,56,1011.7,19.1,0.0,41.60833333333333,12.391666666666666,282.4166666666667,14.729166666666666,5.5,105.95833333333331,68.66666666666667
2024-03-29,25.3,68,1011.1,17.6,0.0,78.925,23.916666666666668,275.0416666666667,12.916666666666666,5.979166666666667,107.04166666666669,66.625
2024-03-30,25.3,71,1012.5,21.9,0.0,107.81666666666666,30.191666666666663,225.25,9.008333333333333,4.5,96.20833333333331,80.04166666666667
2024-03-31,27.1,54,1013.4,13.5,0.0,159.02083333333334,46.725,325.6666666666667,16.704166666666666,9.883333333333333,105.625,107.33333333333331
2024-04-01,25.9,62,1011.0,14.4,0.0,96.08333333333331,31.683333333333334,334.9583333333333,18.245833333333334,8.916666666666666,93.33333333333331,116.70833333333331
2024-04-02,26.2,72,1008.4,19.2,0.0,59.82083333333333,22.70833333333333,225.4583333333333,9.941666666666666,5.208333333333333,102.58333333333331,80.91666666666667
2024-04-03,26.1,78,1008.6,17.6,0.0,108.53333333333336,33.295833333333334,297.4166666666667,11.7875,6.616666666666667,126.66666666666669,98.58333333333331
2024-04-04,26.7,67,1010.0,17.7,0.0,56.4375,17.504166666666666,282.5,14.1375,5.875,111.125,83.58333333333333
2024-04-05,27.2,58,1010.0,21.2,0.0,57.00833333333333,17.483333333333334,261.25,11.870833333333332,5.529166666666666,111.625,66.66666666666667
2024-04-06,26.7,60,1009.4,19.8,0.0,49.0,15.304166666666667,263.4583333333333,12.020833333333334,5.7625,119.20833333333331,74.04166666666667
2024-04-07,26.4,76,1008.9,17.1,0.0,51.15833333333333,19.1375,306.9583333333333,16.925,6.5625,100.125,67.41666666666667
